MCCL,,,,,,,,,,Naïve,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.084945933,0.038878656,0.043611575,0.140175814,0.657534438,-0.207710119,-0.216904561,-0.237583966,-0.403796446,4.853205013,0.061191087,0.033989247,0.027126426,0.108366225,0.529345076,-0.066330669,-0.169055004,-0.163329904,-0.558648244,4.552120898
0.066901605,0.037597879,0.035791036,0.125132733,0.734358253,-0.187025844,-0.222111344,-0.237442456,-0.274250056,5.092686177,0.066534221,0.030358128,0.028143674,0.109048841,0.425979621,-0.159979372,-0.18922469,-0.201599991,-0.541028251,3.918046292
0.069648807,0.032922952,0.038053766,0.109127618,0.656633792,-0.300733573,-0.293947245,-0.285341551,-0.08971476,4.590887258,0.062995477,0.026277764,0.02880037,0.099183123,0.454173679,-0.162193398,-0.198537154,-0.174499657,-0.480412095,3.819732833
0.063168758,0.037704467,0.033919083,0.11385364,0.664759697,-0.293127694,-0.246817078,-0.250990743,-0.235847646,4.696786215,0.066614618,0.034191816,0.025817711,0.116762187,0.473393037,-0.241072065,-0.197075424,-0.206791065,-0.425373653,3.748139372
0.060875243,0.034741052,0.036801767,0.106815297,0.779762816,-0.196292786,-0.209538084,-0.281690833,-0.262432681,5.705378545,0.05143159,0.02634421,0.031538704,0.089082683,0.565177072,-0.301351074,-0.243580231,-0.27136962,-0.201493892,4.839794496
0.069008175,0.034658464,0.045849343,0.117021292,0.56479653,-0.206652218,-0.239826623,-0.210995945,-0.424593105,4.415722323,0.062948468,0.028125626,0.030281364,0.09757141,0.478906885,-0.077823538,-0.179977086,-0.194304842,-0.522643953,4.252448196
0.068211482,0.03528194,0.041018147,0.11161934,0.757754194,-0.333154625,-0.273267864,-0.264213233,-0.175281399,4.780777912,0.061382365,0.030591228,0.028243639,0.097761428,0.47256224,-0.212498048,-0.232337558,-0.216776996,-0.333805083,4.521448095
0.062814888,0.033124274,0.036848911,0.104659812,0.820026071,-0.155986868,-0.270949568,-0.20784027,-0.338878187,6.063399642,0.058144287,0.025883626,0.023647606,0.093014559,0.568089202,-0.101805929,-0.149840461,-0.197128385,-0.494214744,5.068042549
0.063676116,0.041564094,0.036115928,0.105242045,0.594750939,-0.307987628,-0.245945113,-0.230303763,-0.285210551,4.697262836,0.061076751,0.025871358,0.022691439,0.090107388,0.575661143,-0.16425067,-0.174846133,-0.22755409,-0.409521955,4.730256746
0.078018978,0.038291351,0.039244518,0.137764528,0.648212352,-0.280467962,-0.256726706,-0.272912002,-0.117560689,4.889351997,0.062229284,0.029519986,0.027355618,0.095927933,0.498716366,-0.156934901,-0.20055288,-0.186098978,-0.478387437,4.187885037
0.072151399,0.040394118,0.043030174,0.118816581,0.485654506,-0.182637161,-0.174067241,-0.248370328,-0.381446737,4.096962681,0.06448955,0.028529027,0.031265197,0.103752906,0.517561801,-0.1002053,-0.154522713,-0.22354893,-0.610343384,4.596798477
0.081228766,0.035060528,0.047689597,0.136320969,0.545452901,-0.238640428,-0.193884069,-0.278294544,-0.382167277,4.329212599,0.058159642,0.025786565,0.028454795,0.088974654,0.539382084,-0.084068291,-0.090854523,-0.187182187,-0.632678182,4.715912717
0.069536666,0.030967654,0.033173685,0.116945944,0.660467062,-0.296755752,-0.265866977,-0.226530512,-0.287962897,5.271217959,0.061726121,0.025351914,0.028746108,0.099492775,0.530918113,-0.240560869,-0.202639757,-0.242826892,-0.317643691,4.192757082
0.073382484,0.050542021,0.034926718,0.134984994,0.93736888,-0.24135207,-0.290119757,-0.264128811,-0.21896226,5.647524145,0.061998372,0.026102486,0.02832387,0.099360117,0.460772419,-0.131925914,-0.145675165,-0.251916321,-0.42172222,4.481756165
0.06442725,0.030631279,0.034901387,0.098584874,0.881644412,-0.295792913,-0.289084908,-0.224034664,-0.15070202,5.665020466,0.049895821,0.025215155,0.02370917,0.090060337,0.630711708,-0.144733697,-0.244542419,-0.222887127,-0.367452977,5.720755599
0.072100079,0.033679488,0.04393603,0.138895962,0.720348975,-0.349224283,-0.26848905,-0.306579162,-0.09592486,5.615381731,0.059156658,0.026009863,0.026909371,0.093641271,0.433767722,-0.132413193,-0.178022947,-0.214768942,-0.4940066,4.511946672
0.081519428,0.043855417,0.036949998,0.148244821,0.608094187,-0.314369509,-0.290900451,-0.270388291,-0.176266472,4.001668213,0.059978252,0.023591441,0.028312914,0.096314219,0.456126791,-0.269630509,-0.177952565,-0.223295599,-0.380549575,4.433071188
0.069682246,0.033240744,0.036847344,0.1257201,0.76571291,-0.342439302,-0.291567342,-0.302685892,-0.063318853,5.970773205,0.057634952,0.024747681,0.027530299,0.094201164,0.502975434,-0.122382133,-0.248399403,-0.130639726,-0.583447283,4.707508264
0.059363671,0.028434157,0.035782513,0.099566538,0.874026542,-0.204535261,-0.22794853,-0.255336102,-0.255412012,6.659947965,0.047537478,0.024044099,0.02364287,0.078781994,0.632018771,-0.157773085,-0.161096477,-0.233723288,-0.420693137,5.164675257
0.07207006,0.035200229,0.037345887,0.133114092,1.070705121,-0.366249082,-0.297060815,-0.281308008,-0.054460409,6.904319201,0.066365106,0.027855523,0.026140422,0.098685975,0.54274303,-0.132322261,-0.1952143,-0.214151938,-0.396745512,4.370937136
0.07550041,0.033499383,0.038263338,0.117692533,0.540175522,-0.229695622,-0.190618353,-0.234057509,-0.336808312,4.629912026,0.056015282,0.023631898,0.027315532,0.087707264,0.591128553,-0.160999959,-0.193100533,-0.230543361,-0.427617591,4.440930565
0.070780928,0.036314172,0.034488026,0.121522571,0.765609946,-0.209046157,-0.295895971,-0.207730128,-0.235013115,5.257908005,0.052022805,0.026742674,0.023492905,0.085736832,0.571093535,-0.096021792,-0.233008656,-0.183824137,-0.484884376,5.071107712
0.078289274,0.027600166,0.037957659,0.12408811,0.668854799,-0.153083909,-0.195204195,-0.197096617,-0.508286346,5.410057268,0.055259641,0.022545365,0.024583274,0.086008281,0.651201169,-0.220955249,-0.238677577,-0.192941897,-0.380580041,5.39133282
0.071394093,0.038224971,0.036329102,0.122624379,0.633286469,-0.287639255,-0.275377274,-0.268583609,-0.259619796,4.682220495,0.065465221,0.028496581,0.026834146,0.105191968,0.509505717,-0.146905531,-0.20142184,-0.205704152,-0.381021286,4.851121269
0.061805709,0.034576537,0.037223709,0.122945083,0.943837337,-0.101031906,-0.246955299,-0.260934212,-0.26920485,7.011843876,0.052644159,0.026383806,0.029171498,0.090612858,0.515399529,-0.190321737,-0.179968225,-0.203000073,-0.422935198,4.097118835
0.067259333,0.03878819,0.037530441,0.124053463,0.942430955,-0.358068715,-0.348718419,-0.308049229,0.073814005,5.889710936,0.064567277,0.024319916,0.021632323,0.086936227,0.560478998,-0.155672832,-0.195562791,-0.179410079,-0.421151809,4.388675277
0.06850467,0.035669689,0.040925893,0.127813832,0.502194153,-0.210073294,-0.209488924,-0.219246288,-0.365766093,4.339437243,0.062186143,0.026199617,0.030200594,0.08905749,0.414316774,-0.191493983,-0.215151385,-0.19125266,-0.415779457,3.692761708
0.071032334,0.039004879,0.029373682,0.122689068,0.850835314,-0.279985089,-0.258766235,-0.316074738,-0.140579425,5.814034408,0.059501875,0.023168842,0.02681741,0.102189479,0.565383473,-0.174055394,-0.217381219,-0.18683092,-0.486853867,5.161043666
