MCCL1,,,,,MCCL2,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.255257871,-0.231354121,-0.304243473,-0.216758488,5.589407797,-0.258657598,-0.220418585,-0.253961151,-0.196553579,4.739451926,-0.212469896,-0.24237181,-0.230951271,-0.267015469,5.882664018
-0.158302995,-0.222841234,-0.19718208,-0.392521815,4.866004429,-0.272273048,-0.313942314,-0.271277829,-0.163886839,5.970023484,-0.220933423,-0.214409444,-0.226089297,-0.294180815,5.19174653
-0.194975717,-0.261685129,-0.211345597,-0.312012206,5.918974445,-0.214289661,-0.23639058,-0.229597881,-0.289073416,5.64144521,-0.015624803,-0.223367667,-0.156475847,-0.539757744,5.663367978
-0.22330342,-0.224945536,-0.249034208,-0.328647718,4.408747891,-0.264547137,-0.208501558,-0.24885642,-0.269675804,3.789840428,-0.214217627,-0.189180317,-0.241539004,-0.357034836,4.838029554
-0.305993596,-0.248517526,-0.294018243,-0.166758866,5.871146799,-0.35681409,-0.262862195,-0.272201326,-0.144324856,5.27765696,-0.157599371,-0.19847506,-0.219262793,-0.385689109,4.620634942
-0.259797516,-0.271518604,-0.296353084,-0.164986658,5.426754747,-0.174963062,-0.25536067,-0.156101602,-0.352366687,5.262413375,-0.385695896,-0.231521254,-0.290559557,-0.173175774,3.881161072
-0.126307604,-0.279533973,-0.216535917,-0.353527766,5.357828587,-0.3437129,-0.277512273,-0.300797334,-0.047034768,6.042820701,-0.359534629,-0.245733285,-0.219942794,-0.221885937,3.444958961
-0.196558402,-0.21389459,-0.215795421,-0.390948726,4.745191742,-0.179384008,-0.263954584,-0.215185234,-0.360982703,6.081270445,-0.284777111,-0.265724355,-0.194054915,-0.254023923,4.01834169
-0.285664101,-0.26392191,-0.22904657,-0.287113006,5.238589232,-0.344258155,-0.312189539,-0.277569031,-0.00974792,4.678529767,-0.090557617,-0.214167177,-0.235384883,-0.455706792,5.170173995
-0.244515222,-0.266780084,-0.199016341,-0.332467413,4.022402267,-0.192162096,-0.265107797,-0.257823891,-0.225882215,7.223747672,-0.234566077,-0.235463561,-0.218242473,-0.347189724,4.571013844
-0.298762477,-0.240281004,-0.271732113,-0.200606406,4.836774493,-0.221772152,-0.183435408,-0.255382454,-0.327345831,5.166582721,-0.243757579,-0.278177383,-0.240874864,-0.220526075,5.467343332
-0.212490213,-0.230944634,-0.216503916,-0.381853313,5.169844996,-0.19988941,-0.18808743,-0.250378579,-0.422845385,5.694316513,-0.293666748,-0.247174319,-0.258308736,-0.264293446,3.968405757
-0.372184294,-0.259219306,-0.286419322,-0.092731473,4.445096445,-0.286292582,-0.250629229,-0.251187269,-0.187986602,5.671933131,-0.18859589,-0.231360678,-0.187349999,-0.432234462,4.646224047
-0.214915097,-0.204326575,-0.224769357,-0.344714455,5.01591087,-0.234395983,-0.262045806,-0.28074177,-0.246783038,6.10825059,-0.329948244,-0.277665742,-0.275707812,-0.106426012,4.891904493
-0.293470026,-0.252338399,-0.247288563,-0.149835707,6.020785095,-0.375164921,-0.276343007,-0.271136582,-0.100171613,4.542103133,-0.240477607,-0.249655008,-0.22300887,-0.35873416,4.606795193
-0.287151516,-0.252013173,-0.294775131,-0.244610503,5.507214339,-0.129776097,-0.247405068,-0.143882809,-0.433801032,4.667461304,-0.159483782,-0.219248756,-0.252529054,-0.40710423,5.528242471
-0.25654561,-0.284120719,-0.292729857,-0.164251631,5.463954001,-0.296917035,-0.315301934,-0.245033658,-0.207434511,4.836023901,-0.286337865,-0.289594287,-0.253849102,-0.164201332,4.174923331
-0.281716174,-0.294881732,-0.242138472,-0.191094683,5.780325302,-0.284580776,-0.287353709,-0.267298762,-0.198798984,4.413605005,-0.252149992,-0.177162203,-0.278943123,-0.270472432,4.964277965
-0.175731855,-0.290904272,-0.260200539,-0.20025654,7.730441562,-0.174305803,-0.179587172,-0.246822578,-0.455176457,4.81389941,-0.200000491,-0.241794608,-0.207847995,-0.31406889,5.065751198
-0.237169889,-0.273200991,-0.275875037,-0.26249434,5.0880274,-0.315529482,-0.271555525,-0.25781712,-0.186186207,5.179384851,-0.267070502,-0.231310776,-0.315762878,-0.113871532,5.147816937
-0.372166333,-0.344520206,-0.237088439,0.077472303,5.318121528,-0.10893225,-0.208416998,-0.19694945,-0.493326844,4.253447091,-0.251549889,-0.188723448,-0.230385876,-0.292920927,4.48632943
-0.204099256,-0.231115294,-0.260641784,-0.364456255,5.120733051,-0.246295592,-0.264569811,-0.203705084,-0.337920261,4.669328267,-0.254879507,-0.27248476,-0.223730845,-0.248033257,4.72415864
-0.283123036,-0.289594386,-0.225779315,-0.14554577,5.739631938,-0.133218121,-0.235057276,-0.202202764,-0.348995564,6.305754298,-0.242588907,-0.183071034,-0.268519814,-0.274750515,5.109342208
-0.263595508,-0.234788869,-0.258585284,-0.222354295,5.592593875,-0.166972,-0.20350332,-0.208597666,-0.357117126,5.626854539,-0.263881641,-0.237660012,-0.239061135,-0.195467345,4.816448041
